Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description
C1,1,0.56uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor
C10,1,0.0039uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor
C11,1,0.0022uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor
C12,1,0.001uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor
"C13, C14",2,10uF,CP_Elec_5x3,,,,smt,"Polarized capacitor, small symbol"
C15,1,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,"Unpolarized capacitor, small symbol"
C16,1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,"Unpolarized capacitor, small symbol"
C17,1,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,"Unpolarized capacitor, small symbol"
C2,1,0.39uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor
C3,1,0.22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor
C4,1,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor
C5,1,0.056uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor
C6,1,0.039uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor
C7,1,0.022uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor
C8,1,0.01uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor
C9,1,0.0056,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor
"D1, D2",2,9.1V,D_DO-41_SOD81_P7.62mm_Horizontal,,,,tht,Zener diode
J1,1,Power In,PinHeader_1x03_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)"
J2,1,Signal In,PinHeader_1x03_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)"
J3,1,TP1,PinHeader_1x02_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
J4,1,TP2,PinHeader_1x02_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
J5,1,TP3,PinHeader_1x02_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
J6,1,Power LED,PinHeader_2x01_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
P2,1,Signal Out,PinHeader_1x02_P2.54mm_Vertical,,,,tht,Symbole general de connecteur
"R1, R2",2,5.11 1%,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor
"R3, R4",2,10.2K 1%,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor
R5,1,330 Ohm,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor
SW1,1,SW_DIP_x12,SW_DIP_SPSTx12_Slide_6.7x32.04mm_W8.61mm_P2.54mm_LowProfile,,,,smt,"12x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol"
T1,1,42TL016,Transformer_42TL016,,,,tht,"Transformer, single primary, split secondary"
"U1, U2",2,~,SOIC-16W_7.5x10.3mm_P1.27mm,,,,smt,
U3,1,OP177G,DIP-8_W7.62mm_LongPads,,,,tht,"Single Rail-to-Rail High Output Current Operational Amplifiers, SOIC-8"
